NAME,SPECIES (TRANSECT),FAMILY,FAMILY CODE,GENUS,SPECIES,COMMON_NAME,AFRICAANS
Acacia erioloba,1,Mimosaceae,15,Acacia,erioloba,Camel thorn,Kameeldoring
Acacia haematoxylon,2,Mimosaceae,15,Acacia,haematoxylon,Grey camel thorn,Vaalkameeldoring
Acacia leutderitzii,3,Mimosaceae,15,Acacia,leuderitzii,False umbrella thorn,Basterhaak-en-steek
Acacia mellifera,4,Mimosaceae,15,Acacia,mellifera,Black thorn,Swarthaak
Acacia sp.,5,Mimosaceae,15,Acacia,,,
Afzelia quanzensis,6,Caesalpiniaceae,5,Afzelia,quanzensis,Pod mahogany,Peulmahonie
Albizia antunesiana,7,Mimosaceae,15,Albizia,antunesiana,Purple-leaved false-thorn,Persblaarvalsdoring
Albizia sp.,8,Mimosaceae,15,,,,
Ambylogonocarpus andongensis,9,Mimosaceae,15,Ambylogonocarpus,andongensis,,
Baikiaea plurijuga,10,Caesalpiniaceae,5,Baikiaea,plurijuga,Zambezi teak,Zambezikiaat
Baphia massaiensis,11,Fabacea,12,Baphia,massaiensis,Sand camwood,Sandkamhout
Bauhinia petersiana,12,Caesalpiniaceae,5,Bauhinia,petersiana,Coffee neat's foot,Koffiebeesklou
Boscia albatrunca,13,Capparaceae,6,Boscia,albitrunca,Sheperd's Tree,
Brachystegia longifolia,14,Caesalpiniaceae,5,Brachystegia,longifolia,,
Brachystegia spiciformis,15,Caesalpiniaceae,5,Brachystegia,spiciformis,Msasa,Msasa
Burkea africana,16,Caesalpiniaceae,5,Burkea,africana,Wild seringa,Wildesering
Colosphermum mopane,17,Caesalpiniaceae,5,Colosphermum,mopane,Mopane,Mopanie
Combretum molle,18,Combretaceae,8,Combretum,molle,Velvet bushwillow,Fluweelboswilg
Combretum mossambicense,19,Combretaceae,8,Combretum,mossambicense,Knobbly creeper ,Knoppiesklimop
Combretum zeyheri,20,Combretaceae,8,Combretum,zeyheri,Large-fruited bushwillow,Raasblaar
Combretum psidioides,21,Combretaceae,8,Combretum,psidioides,Savanna bushwillow,Savanneboswilg
Commiphora,22,Burseraceae,4,Commiphora,africana,Hairy corkwood,Harige kanniedood
Commiphera Pyrocantha,23,Burseraceae,4,Commiphora,mossambicensis,Pepper-leaf corkwood,Peperblaarkanniedood
Copaifera baumiana,24,Caesalpiniaceae,5,Copaifera,baumiana,,
Croton gratisimas,25,Euphorbiacea,11,Croton,gratissimus,Lavender fever-berry,Laventelkoorsbessie
Cryptosepalum exfoliatum,26,Caesalpiniaceae,5,Cryptosepalum,exfoliatum,,
Dialium englerianum,27,Caesalpiniaceae,5,Dialium,engeleranum,Kalahari podberry,Kalaharipeulbessie
Dialium egeleranum,27,Caesalpiniaceae,5,Dialium,engeleranum,Kalahari podberry,Kalaharipeulbessie
Diospyrus batocana,28,Ebenaceae,10,Diospyrus,batocana,,
Diospyrus virgata,29,Ebenaceae,10,Diospyrus,virgata,,
Diplorhynchus condyloncarpon,30,Apocynacea,3,Diplorhynchus,condylocarpon,Horn-pod tree,Horingpeultjieboom
Erythrophleum africanum,31,Caesalpiniaceae,5,Erythrophleum,africanum,Ordeal tree,Oordeelboom
Grewia monticola,32,Tiliaceae,24,Grewia,monticola,Silver raisin,Vaalrosyntjie
Grewia sp.,33,Tiliaceae,24,Grewia,flava,Velvet raisin,Fluweelrosyntjie
Guibourtia coleosperma,34,Caesalpiniaceae,5,Guibourtia,coleosperma,Copalwood,Bastermopanie
Hymenocardia acida,37,Euphorbiacea,11,Hymenocardia,acida,Heart tree,Hartboom
